,open,high,low,close,volume,EMA,SMA,T3,MACD,MACD_Hist,MACD_Signal,SlowD,SlowK,FastD,FastK,RSI,WILLR,ADX,CCI,ROC,Aroon Down,Aroon Up,MFI,TRIX,Real Lower Band,Real Middle Band,Real Upper Band,DX,Chaikin A/D,OBV,PHASE,QUADRATURE,ADOSC,buy_label,ACTIVE_ABNB,ACTIVE_BWA,ACTIVE_CHWY,ACTIVE_NKE,ACTIVE_SBUX
79,116.87,121.66,99.71,101.75,31852480,117.338,116.745,118.1522,-14.0369,8.0991,-22.1359,50.8131,45.8925,45.8925,6.8756,52.9283,-93.1244,41.2354,-99.2368,5.8989,100.0,75.0,52.9896,1.2192,107.3567,116.745,126.1333,27.1463,370301959.8657,54735120.0,20.6554,-14.0212,-236479.5985,1,True,False,False,False,False
78,101.78,111.13,101.56,105.04,23892918,111.1148,114.2475,115.8019,-10.445,9.8402,-20.2851,41.6238,24.9073,24.9073,17.9643,30.456,-82.0357,37.7131,-75.3714,-8.938,75.0,50.0,54.2074,0.0922,98.049,114.2475,130.446,27.1463,363785709.5021,78628038.0,9.9875,-33.1398,-8159483.6612,1,True,False,False,False,False
77,105.49,114.41,102.18,108.54,21851868,108.8649,112.0975,112.3838,-6.9799,11.0166,-17.9966,29.6667,18.2002,18.2002,29.7607,38.9527,-70.2393,30.2519,-31.6918,-7.5379,50.0,25.0,54.9089,-0.6395,94.193,112.0975,130.002,7.8685,364661213.6166,100479906.0,-0.9443,-19.3516,-10380371.863,1,True,False,False,False,False
76,108.55,116.448,103.595,109.16,26363586,108.7389,108.1725,109.8704,-4.0264,11.4922,-15.5186,23.2109,26.5251,26.5251,31.8504,46.1836,-56.9476,23.7312,106.9445,-12.6358,25.0,0.0,46.8812,-0.8235,97.0438,108.1725,119.3012,4.1689,361127061.3814,126843492.0,-1.4261,-1.3544,-11469749.851,1,True,False,False,False,False
75,112.33,120.71,111.03,119.95,22521054,110.1754,107.0375,109.1481,-1.1239,11.871,-12.9948,31.9996,51.2735,51.2735,92.2096,54.9687,-3.9687,24.5262,133.3333,-3.8847,0.0,0.0,75.7426,-0.5576,99.27,107.0375,114.805,26.9112,380111751.5302,149364546.0,2.9725,2.5991,-4832116.7214,0,True,False,False,False,False
74,118.33,119.91,110.39,115.21,24351450,113.4372,111.175,110.6339,0.9549,11.3651,-10.4102,47.6372,65.1131,65.1131,71.2794,66.5316,-29.6816,23.6833,47.4444,16.2606,0.0,75.0,73.8037,0.0964,101.597,111.175,120.753,21.1545,380418702.5806,125013096.0,4.4744,-16.6784,-1579771.7686,0,True,False,False,False,False
73,113.06,113.8,91.2723,96.09,75721694,113.2863,113.0675,112.046,2.0746,9.8535,-7.779,58.7794,59.9516,59.9516,16.3657,51.1501,-83.6343,31.9706,-122.6071,7.176,100.0,50.0,34.714,0.2956,106.0929,113.0675,120.0421,56.8326,337084194.5946,49291402.0,-8.8144,-22.7856,-13893903.9408,1,True,False,False,False,False
72,96.76,109.77,93.28,109.57,34660330,106.6758,110.12,109.9255,1.1882,6.6706,-5.4824,58.3329,49.9342,49.9342,62.1574,26.1849,-37.8426,38.1861,-48.3529,-10.8614,75.0,25.0,37.5313,-0.627,94.0134,110.12,126.2266,56.8326,370903764.6189,83951732.0,-13.6055,2.6876,-6907649.0089,0,True,False,False,False,False
71,107.74,111.235,96.6,97.77,25085032,107.1015,108.9725,108.0228,1.4799,4.9148,-3.4349,47.8059,33.5319,33.5319,22.0727,48.6815,-77.3107,39.6867,-48.3482,-4.0862,50.0,0.0,21.7931,-0.8026,93.0058,108.9725,124.9392,44.1884,349829595.2687,58866700.0,-7.2652,16.1922,-10127085.0565,0,True,False,False,False,False
70,97.01,98.8299,92.98,97.67,17680050,103.0649,103.6425,105.0479,0.8858,2.6627,-1.7769,39.6632,35.5234,35.5234,22.3401,34.8445,-71.6007,43.7405,-123.1386,-18.0174,25.0,0.0,23.3402,-1.328,89.6126,103.6425,117.6724,55.9019,360498554.4825,41186650.0,-0.532,17.0332,-7128814.1392,1,True,False,False,False,False
